area,total_population,male_population,female_population,male_0_4,male_5_9,male_10_14,male_15_19,male_20_24,male_25_29,male_30_34,male_35_39,male_40_44,male_45_49,male_50_54,male_55_59,male_60_64,male_65_69,male_70_74,male_75_79,male_80_84,male_85_89,male_90_plus,female_0_4,female_5_9,female_10_14,female_15_19,female_20_24,female_25_29,female_30_34,female_35_39,female_40_44,female_45_49,female_50_54,female_55_59,female_60_64,female_65_69,female_70_74,female_75_79,female_80_84,female_85_89,female_90_plus,facility_No,facility_name,available_days,facility_area_name,housing_No,housing_name,housing_area_name,distance_m_to_nearest_housing
つつじが丘,1066,492,574,13,11,14,14,19,18,15,19,17,22,45,45,42,32,43,26,36,40,21,5,12,14,19,8,15,15,16,24,23,45,51,38,33,48,53,66,50,39,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
みたけ,7469,3516,3953,101,138,157,197,184,183,161,201,224,270,301,252,285,237,202,169,114,92,48,83,124,168,203,170,194,177,205,253,264,318,288,310,237,222,246,203,168,120,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
愛宕町,957,455,502,14,16,16,24,24,14,19,27,26,28,54,40,32,24,25,28,25,8,11,5,17,25,13,20,19,19,24,28,43,56,44,38,21,35,36,24,16,19,77,盛岡市中央公民館,火水木金土日,愛宕町,11,つつじが丘住宅,つつじが丘,2036.26754680308
安倍館町,1075,490,585,5,14,20,20,42,42,27,17,31,31,36,46,31,28,29,31,22,12,6,15,12,15,20,17,34,30,31,32,34,65,39,40,28,41,37,32,32,31,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
稲荷町,540,268,272,14,9,11,7,15,19,22,15,14,20,20,19,18,16,12,19,9,7,2,4,10,9,7,15,15,19,13,8,10,23,15,9,20,20,16,21,16,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
芋田字,382,211,171,2,3,2,7,21,25,9,17,11,9,14,18,11,12,21,13,10,5,1,1,4,1,5,28,11,4,3,3,6,13,10,8,13,18,14,8,11,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
羽場,678,334,344,5,4,23,14,10,5,3,20,18,33,26,22,18,24,30,36,19,14,10,2,4,8,11,12,6,8,9,19,22,22,22,24,38,37,42,18,20,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
永井,8232,3859,4373,132,160,193,209,156,210,223,259,274,267,329,241,237,232,273,241,130,63,30,153,188,189,183,186,210,229,268,298,301,342,253,247,270,292,334,189,133,108,80,盛岡市都南公民館,火水木金土日,永井,14,見前アパート,東見前,1535.10890192145
乙部,2051,1015,1036,17,33,34,53,35,45,42,46,60,82,82,66,63,83,84,103,54,24,9,30,22,22,36,39,37,33,50,64,58,67,67,76,79,106,102,64,43,41,86,盛岡市乙部地区公民館,月火水木金土日,乙部,16,法領田アパート,乙部,1028.06744147303
下ノ橋町,474,213,261,6,5,7,10,10,8,7,8,13,11,19,25,12,16,20,21,8,4,3,3,4,6,10,13,9,4,9,15,19,22,23,14,24,24,23,16,14,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
下鹿妻字,383,176,207,2,7,14,10,9,3,4,6,17,14,15,12,16,9,11,16,8,2,1,2,6,8,13,10,11,2,7,13,20,14,14,9,13,16,21,14,9,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
下厨川字,141,94,47,2,2,3,3,13,17,8,5,3,4,10,12,6,2,3,0,0,1,0,2,0,0,4,7,7,3,6,1,2,3,7,0,2,1,1,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
下太田,521,248,273,10,5,10,9,9,10,12,12,25,23,13,12,12,22,19,20,13,5,7,8,11,8,11,8,13,12,13,15,13,16,18,8,18,25,33,18,15,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
下田字,2701,1323,1378,25,32,61,67,45,30,30,57,95,78,88,99,111,121,143,112,71,31,27,17,35,40,47,36,32,26,54,86,68,75,82,102,152,125,121,104,80,96,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
下飯岡,1033,501,532,7,22,23,21,22,15,19,28,38,37,33,30,38,38,50,37,23,16,4,3,19,27,22,16,7,22,26,30,37,29,37,34,50,53,52,24,28,16,85,盛岡市飯岡地区公民館,月火水木金土日,下飯岡,13,仙北西アパート,西仙北,2758.7132199903
下米内,1250,592,658,18,31,38,23,13,23,21,24,31,48,36,42,37,47,62,52,19,16,11,11,28,40,22,21,18,24,29,49,48,35,48,40,55,63,56,35,19,17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
下米内字,200,105,95,1,3,5,4,5,3,2,0,6,5,9,8,11,9,12,14,4,2,2,2,2,4,2,2,2,1,3,7,4,5,10,6,6,15,9,5,5,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
