facility_No,facility_name,available_days,facility_area_name,housing_No,housing_name,housing_area_name,distance_m_to_nearest_housing,area,total_population,male_population,female_population,male_0_4,male_5_9,male_10_14,male_15_19,male_20_24,male_25_29,male_30_34,male_35_39,male_40_44,male_45_49,male_50_54,male_55_59,male_60_64,male_65_69,male_70_74,male_75_79,male_80_84,male_85_89,male_90_plus,female_0_4,female_5_9,female_10_14,female_15_19,female_20_24,female_25_29,female_30_34,female_35_39,female_40_44,female_45_49,female_50_54,female_55_59,female_60_64,female_65_69,female_70_74,female_75_79,female_80_84,female_85_89,female_90_plus
78,盛岡市上田公民館,火水木金土日,上田,10,前九年アパート,前九年,1525.62213950526,上田,4261,2071,2190,56,65,87,166,313,140,92,94,98,125,143,142,132,130,90,84,58,30,26,42,53,73,129,240,122,102,95,116,135,167,141,154,123,106,130,89,83,90
77,盛岡市中央公民館,火水木金土日,愛宕町,11,つつじが丘住宅,つつじが丘,2036.26754680308,愛宕町,957,455,502,14,16,16,24,24,14,19,27,26,28,54,40,32,24,25,28,25,8,11,5,17,25,13,20,19,19,24,28,43,56,44,38,21,35,36,24,16,19
90,盛岡市薮川地区公民館,火水木金土日,薮川字外山,11,つつじが丘住宅,つつじが丘,14161.19879264,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
79,盛岡市河南公民館,火水木金土日,松尾町,12,川目アパート,東山,1546.76209676015,松尾町,537,252,285,7,5,7,5,8,13,7,18,12,24,23,25,21,10,15,23,15,9,5,6,5,12,7,8,6,8,17,14,14,14,21,19,18,27,35,15,18,21
85,盛岡市飯岡地区公民館,月火水木金土日,下飯岡,13,仙北西アパート,西仙北,2758.7132199903,下飯岡,1033,501,532,7,22,23,21,22,15,19,28,38,37,33,30,38,38,50,37,23,16,4,3,19,27,22,16,7,22,26,30,37,29,37,34,50,53,52,24,28,16
80,盛岡市都南公民館,火水木金土日,永井,14,見前アパート,東見前,1535.10890192145,永井,8232,3859,4373,132,160,193,209,156,210,223,259,274,267,329,241,237,232,273,241,130,63,30,153,188,189,183,186,210,229,268,298,301,342,253,247,270,292,334,189,133,108
84,盛岡市見前地区公民館,月火水木金土日,津志田中央,14,見前アパート,東見前,2265.13449453907,津志田中央,2471,1209,1262,31,47,68,77,83,68,62,90,73,126,113,102,73,45,57,43,26,11,14,27,44,61,80,66,62,69,64,94,124,110,122,79,63,68,56,38,18,17
87,盛岡市見前南地区公民館,月火水木金土日,西見前,15,柿の木アパート,西見前,366.193386268447,西見前,5057,2414,2643,88,110,138,138,101,101,115,164,166,187,184,160,142,149,161,149,102,42,17,76,95,146,139,114,110,119,158,161,195,205,143,174,155,178,192,144,76,63
86,盛岡市乙部地区公民館,月火水木金土日,乙部,16,法領田アパート,乙部,1028.06744147303,乙部,2051,1015,1036,17,33,34,53,35,45,42,46,60,82,82,66,63,83,84,103,54,24,9,30,22,22,36,39,37,33,50,64,58,67,67,76,79,106,102,64,43,41
89,盛岡市玉山地区公民館,火水木金土日,日戸字鷹高,18,渋民団地,渋民字大前田,5310.83389198862,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
82,盛岡市渋民公民館,火水木金土日,渋民字鶴塚,18,渋民団地,渋民字大前田,1310.04325852454,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
88,盛岡市好摩地区公民館,火水木金土日,好摩字野中,19,夏間木第１団地,好摩字夏間木,823.137920834581,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
83,盛岡市松園地区公民館,月火水木金土日,東松園,2,岩脇緑が丘住宅,岩脇町,2069.57205813332,東松園,2632,1198,1434,20,33,47,57,44,19,34,54,73,81,90,45,74,79,104,153,118,51,22,20,38,58,63,39,30,36,47,72,81,97,82,84,101,131,207,136,70,42
81,盛岡市西部公民館,火水木金土日,南青山町,7,青山一丁目アパ−ト,青山,254.341376259277,南青山町,1596,690,906,17,33,29,36,31,19,37,30,35,52,65,57,56,37,47,45,26,24,14,22,28,33,49,30,28,38,57,35,73,68,65,49,53,67,57,48,56,50

(14 行に影響しました)


完了時刻: 2026-05-27T11:28:02.0978319+09:00
