都道府県コード又は市区町村コード,都道府県名,市区町村名,調査年月日,地域名,総人口,男性,女性,0-4歳の男性,0-4歳の女性,5-9歳の男性,5-9歳の女性,10-14歳の男性,10-14歳の女性,15-19歳の男性,15-19歳の女性,20-24歳の男性,20-24歳の女性,25-29歳の男性,25-29歳の女性,30-34歳の男性,30-34歳の女性,35-39歳の男性,35-39歳の女性,40-44歳の男性,40-44歳の女性,45-49歳の男性,45-49歳の女性,50-54歳の男性,50-54歳の女性,55-59歳の男性,55-59歳の女性,60-64歳の男性,60-64歳の女性,65-69歳の男性,65-69歳の女性,70-74歳の男性,70-74歳の女性,75-79歳の男性,75-79歳の女性,80-84歳の男性,80-84歳の女性,85-89歳の男性,85-89歳の女性,90歳以上の男性,90歳以上の女性,世帯数,備考
032018,岩手県,盛岡市,2025-09-30,盛岡市（総数）,275321,130120,145201,4132,3878,5166,5027,5998,5910,6446,6262,6487,6312,6154,6118,6902,6770,7507,7539,8419,8975,9755,9988,10680,10975,9223,9808,8925,9675,8522,9562,8447,9968,7816,10256,4885,7544,2963,5678,1693,4956,138914,
032018,岩手県,盛岡市,2025-09-30,内丸,191,93,98,1,0,2,0,1,0,3,2,9,9,7,8,5,2,6,4,7,2,8,9,7,11,11,8,5,7,6,4,4,8,5,8,5,7,1,6,0,3,126,
032018,岩手県,盛岡市,2025-09-30,中央通一丁目,362,161,201,4,2,4,3,7,3,9,5,4,8,9,10,10,8,9,10,8,8,12,19,7,16,14,19,18,17,11,16,15,16,10,11,7,11,3,14,0,5,228,
032018,岩手県,盛岡市,2025-09-30,中央通二丁目,594,276,318,11,10,11,12,12,12,13,19,11,17,22,15,17,13,15,17,20,19,20,32,29,27,24,17,22,23,16,20,11,17,10,20,5,13,7,8,0,7,330,
032018,岩手県,盛岡市,2025-09-30,中央通三丁目,1498,688,810,36,31,27,39,34,26,37,31,33,50,21,34,48,46,58,49,62,56,44,59,56,75,57,60,47,54,53,58,25,43,25,35,9,30,10,14,6,20,816,
032018,岩手県,盛岡市,2025-09-30,大通一丁目,50,28,22,1,0,1,1,0,0,0,1,0,1,2,3,6,0,1,2,3,0,5,1,3,1,3,3,1,1,0,1,0,2,0,2,0,2,0,1,2,0,33,
032018,岩手県,盛岡市,2025-09-30,大通二丁目,33,20,13,0,0,0,0,0,0,0,1,3,0,1,1,3,1,2,1,1,0,0,0,3,2,3,2,0,1,1,1,1,1,0,1,0,0,1,0,1,1,23,
032018,岩手県,盛岡市,2025-09-30,大通三丁目,613,275,338,3,4,3,7,8,8,12,8,19,13,11,15,12,14,14,9,14,11,18,28,30,28,19,36,30,33,22,34,22,27,20,29,7,15,7,5,4,14,381,
032018,岩手県,盛岡市,2025-09-30,菜園一丁目,127,66,61,1,0,2,1,0,3,1,2,2,3,8,3,7,3,5,6,6,3,3,9,4,3,7,3,5,2,3,5,1,4,3,2,1,3,6,4,1,2,92,
032018,岩手県,盛岡市,2025-09-30,菜園二丁目,254,109,145,1,3,6,2,2,4,1,5,5,3,4,3,3,4,3,2,9,11,12,7,13,8,6,19,5,8,10,13,6,16,15,17,5,5,1,11,2,4,158,
032018,岩手県,盛岡市,2025-09-30,大沢川原一丁目,157,71,86,1,1,1,2,4,3,2,0,0,4,1,0,4,3,3,3,6,6,4,5,10,9,10,5,4,7,5,5,5,11,3,7,5,9,3,2,0,4,106,
032018,岩手県,盛岡市,2025-09-30,大沢川原二丁目,570,267,303,9,12,9,9,14,10,8,10,6,9,9,16,24,16,14,16,15,23,28,21,18,21,29,25,27,25,14,27,14,18,19,16,7,15,2,5,1,9,317,
032018,岩手県,盛岡市,2025-09-30,大沢川原三丁目,474,211,263,2,1,3,4,6,4,5,5,19,14,18,12,13,14,19,9,8,13,17,22,20,28,18,15,14,22,17,25,11,20,8,23,6,14,5,7,2,11,349,
032018,岩手県,盛岡市,2025-09-30,開運橋通,606,265,341,7,5,1,11,12,10,14,15,15,12,7,14,15,20,18,12,13,13,17,26,22,20,25,25,26,32,20,22,13,30,23,30,8,15,6,12,3,17,397,
032018,岩手県,盛岡市,2025-09-30,本町通一丁目,1480,668,812,11,10,11,13,18,21,22,19,93,39,52,30,32,44,33,35,34,40,48,45,41,67,36,75,53,67,51,70,51,76,44,69,23,35,6,33,9,24,982,
032018,岩手県,盛岡市,2025-09-30,本町通二丁目,991,432,559,14,13,8,16,9,22,15,11,24,22,22,28,28,20,25,22,37,32,24,36,42,44,40,34,29,37,29,38,31,54,24,51,14,38,10,25,7,16,611,
032018,岩手県,盛岡市,2025-09-30,本町通三丁目,1643,752,891,13,19,25,18,30,20,28,48,39,36,45,43,41,46,46,41,43,49,57,62,60,63,69,74,66,83,68,94,50,55,34,58,19,38,13,21,6,23,961,
