都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_通称,POIコード,住所,方書,緯度,経度,電話番号,内線番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,説明,バリアフリー情報,URL,備考
32018,1,岩手県,盛岡市,谷地頭アパート,ヤチガシラアパート,,,岩手県盛岡市厨川5-14-1,,39.7516353,141.1298748,019-626-7533,,,,,,,,,,http://www.city.morioka.iwate.jp/kurashi/sumai/shieijutaku/1001684.html,
32018,2,岩手県,盛岡市,岩脇緑が丘住宅,イワワキミドリガオカジュウタク,,,岩手県盛岡市岩脇町12-1,,39.74510875,141.1446235,019-626-7533,,,,,,,,,,http://www.city.morioka.iwate.jp/kurashi/sumai/shieijutaku/1001684.html,
32018,3,岩手県,盛岡市,北厨川アパート,キタクリヤガワアパート,,,岩手県盛岡市厨川2-20-6,,39.74006612,141.1289554,019-626-7533,,,,,,,,,,http://www.city.morioka.iwate.jp/kurashi/sumai/shieijutaku/1001684.html,
32018,4,岩手県,盛岡市,観武台住宅,ミタケダイジュウタク,,,岩手県盛岡市月が丘3-7-32,,39.73417665,141.1094897,019-626-7533,,,,,,,,,,http://www.city.morioka.iwate.jp/kurashi/sumai/shieijutaku/1001684.html,
32018,5,岩手県,盛岡市,月が丘アパート,ツキガオカアパート,,,岩手県盛岡市月が丘3-8-1,,39.73282507,141.10824,019-626-7533,,,,,,,,,,http://www.city.morioka.iwate.jp/kurashi/sumai/shieijutaku/1001684.html,
32018,6,岩手県,盛岡市,青山西アパ－ト,アオヤマニシアパート,,,岩手県盛岡市青山3-35-22,,39.72921487,141.1129323,019-626-7533,,,,,,,,,,http://www.city.morioka.iwate.jp/kurashi/sumai/shieijutaku/1001684.html,
32018,7,岩手県,盛岡市,青山一丁目アパ－ト,アオヤマイッチョウメアパート,,,岩手県盛岡市青山1-13-8,,39.72055526,141.1148592,019-626-7533,,,,,,,,,,http://www.city.morioka.iwate.jp/kurashi/sumai/shieijutaku/1001684.html,
32018,8,岩手県,盛岡市,青山二丁目アパート,アオヤマニチョウメアパート,,,岩手県盛岡市青山2-21-1,,39.72549126,141.1113133,019-626-7533,,,,,,,,,,http://www.city.morioka.iwate.jp/kurashi/sumai/shieijutaku/1001684.html,
32018,9,岩手県,盛岡市,青山三丁目アパート,アオヤマサンチョウメアパート,,,岩手県盛岡市青山3-11-2,,39.72851485,141.1160879,019-626-7533,,,,,,,,,,http://www.city.morioka.iwate.jp/kurashi/sumai/shieijutaku/1001684.html,
32018,10,岩手県,盛岡市,前九年アパート,ゼンクネンアパート,,,岩手県盛岡市前九年3-9-1,,39.71765354,141.1206332,019-626-7533,,,,,,,,,,http://www.city.morioka.iwate.jp/kurashi/sumai/shieijutaku/1001684.html,
32018,11,岩手県,盛岡市,つつじが丘住宅,ツツジガオカジュウタク,,,岩手県盛岡市つつじが丘43-1,,39.70667966,141.1853409,019-626-7533,,,,,,,,,,http://www.city.morioka.iwate.jp/kurashi/sumai/shieijutaku/1001684.html,
32018,12,岩手県,盛岡市,川目アパート,カワメアパート,,,岩手県盛岡市東山1-17-1,,39.69170633,141.1755404,019-626-7533,,,,,,,,,,http://www.city.morioka.iwate.jp/kurashi/sumai/shieijutaku/1001684.html,
32018,13,岩手県,盛岡市,仙北西アパート,センボクニシアパート,,,岩手県盛岡市西仙北1-36-1,,39.68524899,141.1450118,019-626-7533,,,,,,,,,,http://www.city.morioka.iwate.jp/kurashi/sumai/shieijutaku/1001684.html,
32018,14,岩手県,盛岡市,見前アパート,ミルマエアパート,,,岩手県盛岡市東見前9-35-12,,39.6436819,141.1686791,019-626-7533,,,,,,,,,,http://www.city.morioka.iwate.jp/kurashi/sumai/shieijutaku/1001684.html,
32018,15,岩手県,盛岡市,柿の木アパート,カキノキアパート,,,岩手県盛岡市西見前12-16-1,,39.63916787,141.1669955,019-626-7533,,,,,,,,,,http://www.city.morioka.iwate.jp/kurashi/sumai/shieijutaku/1001684.html,
32018,16,岩手県,盛岡市,法領田アパート,ホウリョウダアパート,,,岩手県盛岡市乙部31-55-1,,39.60700949,141.1958527,019-626-7533,,,,,,,,,,http://www.city.morioka.iwate.jp/kurashi/sumai/shieijutaku/1001684.html,
32018,17,岩手県,盛岡市,大ケ生住宅,オオガユジュウタク,,,岩手県盛岡市乙部22-1-18,,39.60918975,141.2248969,019-626-7533,,,,,,,,,,http://www.city.morioka.iwate.jp/kurashi/sumai/shieijutaku/1001684.html,
32018,18,岩手県,盛岡市,渋民団地,シブタミダンチ,,,岩手県盛岡市渋民字大前田65-1,,39.83742836,141.1664883,019-626-7533,,,,,,,,,,http://www.city.morioka.iwate.jp/kurashi/sumai/shieijutaku/1001684.html,
32018,19,岩手県,盛岡市,夏間木第１団地,ナツマギダイイチダンチ,,,岩手県盛岡市好摩字夏間木70-154,,39.86977207,141.1677667,019-626-7533,,,,,,,,,,http://www.city.morioka.iwate.jp/kurashi/sumai/shieijutaku/1001684.html,
32018,20,岩手県,盛岡市,夏間木第２団地,ナツマギダイニダンチ,,,岩手県盛岡市好摩字芋田向83-6,,39.86941228,141.1671489,019-626-7533,,,,,,,,,,http://www.city.morioka.iwate.jp/kurashi/sumai/shieijutaku/1001684.html,
32018,21,岩手県,盛岡市,夏間木第３団地,ナツマギダイサンダンチ,,,岩手県盛岡市好摩字夏間木84-181,,39.86919299,141.1695307,019-626-7533,,,,,,,,,,http://www.city.morioka.iwate.jp/kurashi/sumai/shieijutaku/1001684.html,
32018,22,岩手県,盛岡市,盛岡駅西通アパート,モリオカエキニシドオリアパート,,,岩手県盛岡市盛岡駅西通1-2-2,,39.70402984,141.1318759,019-626-7533,,,,,,,,,,http://www.city.morioka.iwate.jp/kurashi/sumai/shieijutaku/1001684.html,
