都道府県コード又は市区町村コード,NO,地方公共団体名,名称,名称_カナ,名称_通称,POIコード,住所,方書,緯度,経度,電話番号,内線番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,説明,バリアフリー情報,URL,備考,所管課
032018,0000000002,岩手県盛岡市,盛岡市役所青山支所,モリオカシヤクショアオヤマシショ,,,岩手県盛岡市青山3-37-3,,39.728080999999989,141.11071699999997,019-647-2211,,,,月火水木金,,,,,,http://www.city.morioka.iwate.jp/shisetsu/shikanren/shiyakusho/1006769.html,H31.3.25～,市民登録課
032018,0000000003,岩手県盛岡市,盛岡市役所簗川支所,モリオカシヤクショヤナガワシショ,,,岩手県盛岡市川目10-78-1,,39.671958000000117,141.19797299999996,019-622-3626,,,,月火水木金,,,,,,http://www.city.morioka.iwate.jp/shisetsu/shikanren/shiyakusho/1006770.html,,市民登録課
032018,0000000004,岩手県盛岡市,盛岡市役所太田支所,モリオカシヤクショオオタシショ,,,岩手県盛岡市中太田深持9,,39.693191299999995,141.10067779999997,019-659-0211,,,,月火水木金,,,,,,http://www.city.morioka.iwate.jp/shisetsu/shikanren/shiyakusho/1006771.html,,市民登録課
032018,0000000006,岩手県盛岡市,巻堀出張所,マキボリシュッチョウジョ,,,岩手県盛岡市好摩字野中69-48,,39.877136000000071,141.16706899999994,019-682-0310,,,,月火水木金,,,,,,http://www.city.morioka.iwate.jp/shisetsu/shikanren/shiyakusho/1006780.html,,税務住民課
032018,0000000007,岩手県盛岡市,玉山出張所,タマヤマシュッチョウジョ,,,岩手県盛岡市日戸字鷹高50-16,,39.7943910000001,141.19341699999998,019-685-2111,,,,月火水木金,,,,,,http://www.city.morioka.iwate.jp/shisetsu/shikanren/shiyakusho/1006778.html,,税務住民課
032018,0000000008,岩手県盛岡市,薮川出張所,ヤブカワシュッチョウジョ,,,岩手県盛岡市薮川字外山27-7,,39.779751000000253,141.32075199999969,019-681-5111,,,,月火水木金,,,,,,http://www.city.morioka.iwate.jp/shisetsu/shikanren/shiyakusho/1006779.html,,税務住民課
032018,0000000009,岩手県盛岡市,飯岡出張所,イイオカシュッチョウジョ,,,岩手県盛岡市下飯岡8-100,,39.66672200000005,141.12370299999998,019-638-0117,,,,月火水木金,,,,,,http://www.city.morioka.iwate.jp/shisetsu/shikanren/shiyakusho/1006773.html,,都南総合支所
032018,0000000010,岩手県盛岡市,乙部出張所,オトベシュッチョウジョ,,,岩手県盛岡市乙部6-79-1,,39.616088000000033,141.19338899999994,019-696-2001,,,,月火水木金,,,,,,http://www.city.morioka.iwate.jp/shisetsu/shikanren/shiyakusho/1006774.html,,都南総合支所
032018,0000000011,岩手県盛岡市,プラザおでって,プラザオデッテ,,,岩手県盛岡市中ノ橋通1-1-10,,39.700299000000044,141.15475599999996,019-604-3300,,,,月火水木金土日,,,,,,http://odette.or.jp/plaza-odette/,,観光課
032018,0000000012,岩手県盛岡市,盛岡劇場,モリオカゲキジョウ,,,岩手県盛岡市松尾町3-1,,39.696366000000062,141.15816999999993,019-622-2258,,,,火水木金土日,,,,,,http://www.city.morioka.iwate.jp/shisetsu/bunka/hall/1006840.html,,文化国際課
032018,0000000013,岩手県盛岡市,都南文化会館,トナンブンカカイカン,,,岩手県盛岡市永井24-10-1,,39.65249400000004,141.15482999999992,019-637-6611,,,,火水木金土日,,,,,,http://www.city.morioka.iwate.jp/shisetsu/bunka/hall/1006841.html,,文化国際課
032018,0000000014,岩手県盛岡市,盛岡市民文化ホール,モリオカシミンブンカホール,,,岩手県盛岡市盛岡駅西通2-9-1,,39.701303,141.13351000000003,019-621-5100,,,,火水木金土日,,,,,,http://www.city.morioka.iwate.jp/shisetsu/bunka/hall/1006839.html,,文化国際課
032018,0000000015,岩手県盛岡市,渋民文化会館,シブタミブンカカイカン,,,岩手県盛岡市渋民字鶴塚55,,39.849317000000063,141.16948999999997,019-683-3526,,,,火水木金土日,,,,,,http://www.city.morioka.iwate.jp/shisetsu/bunka/hall/1006842.html,,文化国際課
032018,0000000016,岩手県盛岡市,青山地区活動センター体育館,アオヤマチクカツドウセンタータイイクカン,,,岩手県盛岡市月が丘1-26-1,,39.732001000000039,141.113003,019-641-5656,,,,月火水木金土日,,,,,,,,市民協働推進課
032018,0000000018,岩手県盛岡市,青山地区活動センター,アオヤマチクカツドウセンター,,,岩手県盛岡市青山3-37-7,,39.728071000000007,141.11084899999994,019-646-1593,,,,月火水木金土日,,,,,,http://www.city.morioka.iwate.jp/shisetsu/community/chiku/1007323.html,,市民協働推進課
